date,price
2023-01-01,100.49671415301123
2023-01-02,100.35844985184004
2023-01-03,101.00613838994073
2023-01-04,102.52916824634876
2023-01-05,102.29501487162543
2023-01-06,102.06087791467624
2023-01-07,103.64009073018363
2023-01-08,104.40752545933654
2023-01-09,103.93805107340158
2023-01-10,104.48061111698755
2023-01-11,104.01719342417509
2023-01-12,103.55146367060483
2023-01-13,103.79342594217087
2023-01-14,101.88014569751307
2023-01-15,100.15522786500004
2023-01-16,99.59294033575907
2023-01-17,98.58010921542464
2023-01-18,98.89435654801991
2023-01-19,97.9863324724987
2023-01-20,96.57402877116341
2023-01-21,98.03967754008497
2023-01-22,97.81390123959844
2023-01-23,97.88142944428635
2023-01-24,96.45668125807289
2023-01-25,95.91229853354771
2023-01-26,96.02322112325758
2023-01-27,94.87222754583529
2023-01-28,95.24792556418096
2023-01-29,94.64728687426215
2023-01-30,94.35559312446887
2023-01-31,93.75388651223948
2023-02-01,95.60616469674841
2023-02-02,95.59266747201048
2023-02-03,94.53495654305458
2023-02-04,95.35750145515776
2023-02-05,94.13665780518674
2023-02-06,94.3455214001915
2023-02-07,92.38585127631173
2023-02-08,91.0576652274133
2023-02-09,91.25452646328242
2023-02-10,91.99299304327782
2023-02-11,92.16436132446779
2023-02-12,92.04871304207956
2023-02-13,91.74760934649026
2023-02-14,90.26908735612284
2023-02-15,89.54924314772813
2023-02-16,89.08860437676834
2023-02-17,90.14572660298727
2023-02-18,90.48934489255574
2023-02-19,88.726304737193
2023-02-20,89.0503887065878
2023-02-21,88.66530642617148
2023-02-22,87.98838442586552
2023-02-23,88.60006071470639
2023-02-24,89.63106023720233
2023-02-25,90.56234035631853
2023-02-26,89.72312283309589
2023-02-27,89.41391045724467
2023-02-28,89.74517388864824
2023-03-01,90.7207190157706
2023-03-02,90.24154477792531
2023-03-03,90.0558858012615
2023-03-04,88.94955082725546
2023-03-05,87.75334420317479
2023-03-06,88.56587002556898
2023-03-07,89.92211005413981
2023-03-08,89.85009993255947
2023-03-09,90.8536328304515
